category,item,quantity,specification,notes
wood,Structural plywood,1 quarter-sheet,"12 mm void-free birch preferred","Base uprights swing-arm cheeks and motor plate"
wood,Pulley plywood,1 quarter-sheet,"6 mm void-free birch preferred","Sector pulley capstan bearing retainers and fit coupons"
joint,Precision shaft,1,"12 mm diameter × 160 mm standard shaft","No custom turning"
joint,Sealed radial bearing,2,"6001-2RS; 12 × 28 × 8 mm","Verify supplier dimensions"
joint,Shaft collars,2,"12 mm clamp type","Retain shaft without machining grooves"
joint,Metric fastener set,1,"M4 M5 M6 and M8 bolts washers and locknuts","Prefer through-bolts over wood screws"
joint,Threaded inserts,12,"M5 and M6 flanged or screw-in","Use only after coupon pull-out testing"
transmission,Low-stretch tendon,5 m,"2 mm UHMWPE class line","Proof-test terminations above 600 N"
transmission,Guide pulley bearings,4,"608-2RS; 8 × 22 × 7 mm","Standard M8 shoulder bolts as axles"
transmission,Sector pulley laminate,1,"150 mm working diameter; three 6 mm layers","Outer layers retain tendon"
transmission,Motor capstan laminate,1,"60 mm working diameter; three 6 mm layers","Tune bore to purchased actuator shaft"
transmission,Tendon tension adjusters,2,"M6 turnbuckle or threaded eye arrangement","Guard all exposed pinch points"
actuation,Closed-loop actuator and reduction,1,"At least 6 N·m continuous and 9 N·m short-duration capstan output","Replaceable NEMA-23-class mounting plate is supplied"
actuation,Motor driver,1,"Matched to actuator; hardware enable input required","Driver enable must pass through safety contactor/relay"
sensing,Joint absolute encoder,1,"AS5048A-class magnetic encoder or equivalent","Measures output shaft independently"
sensing,Diametric magnet,1,"Matched to encoder; shaft-end mounting","Maintain manufacturer air gap"
sensing,Inline tension sensor or load cell,1,"0–100 kg class with amplifier","Optional for early motion; required for tendon characterization"
safety,Latching mushroom E-stop,1,"Normally closed dual-channel preferred","Removes actuator enable independent of firmware"
safety,Drive-enable contactor or safety relay,1,"Rated for driver enable or actuator branch","Select after driver is chosen"
safety,Transparent guard,1,"Polycarbonate enclosure around pulley and link sweep","Do not use acrylic for impact guarding"
safety,Branch fuse and holder,1,"Sized after measured current","Mount close to source"
power,DC power supply,1,"24–36 V; current-limited; matched to actuator","Bench supply for Phase 0"
control,Real-time controller,1,"STM32/Teensy-class MCU with watchdog","No language model in loop"
control,Hold-to-run pendant,1,"Physical deadman switch and stop control","Required for commissioning"
test,Calibration weights,1 set,"Guarded increments totaling at least 5 kg","Never substitute a person"
test,Temperature sensor,2,"Motor and plywood/bearing-area monitoring","Thermocouple or digital probe"

