hazard_id,phase,hazard,cause,effect,initial_severity,initial_likelihood,initial_risk,controls,verification,residual_severity,residual_likelihood,residual_risk,owner,status
H01,all,Unexpected motion,"stale command software fault or bus corruption","impact pinch or fall",5,3,15,"typed commands deadlines watchdog joint limits independent enable","fault injection and E-stop tests",5,1,5,Safety lead,open
H02,standing,Robot fall,"balance loss structural failure or power loss","impact injury and equipment damage",5,4,20,"overhead fall arrest exclusion zone low speed staged testing","gantry proof and suspended fault tests",5,1,5,Test lead,open
H03,ladder,Loss of rung contact,"grip slip tendon failure or false contact","fall and shock load",5,4,20,"positive hooks three contacts independent sensors tether","rung fixture power-loss and single-fault tests",5,1,5,Mechanical lead,open
H04,all,Plywood fracture,"overload fatigue defect moisture or poor grain","joint collapse or sharp fragments",5,3,15,"void-free material proof/endurance tests inspection life tracking","coupon J1 J2 and full-link tests",5,2,10,Structures lead,open
H05,all,Delamination,"heat moisture impact or fastener stress","loss of stiffness and sudden failure",4,3,12,"sealed edges controlled storage large washers inspection","humidity and cyclic load tests",4,1,4,Structures lead,open
H06,all,Bearing migration,"incorrect pocket fit or plywood creep","shaft misalignment and seizure",4,3,12,"fit coupon bolted retainers witness marks","500 and 10000 cycle inspection",4,1,4,Mechanical lead,open
H07,all,Tendon rupture,"abrasion overload small bend radius or bad termination","uncontrolled joint motion",5,3,15,"force limit bend-radius rules guards redundant/load-catching geometry","termination test and tendon endurance",5,1,5,Transmission lead,open
H08,all,Tendon entanglement,"exposed moving line or loose clothing","pinch or pull-in injury",4,3,12,"polycarbonate guards exclusion zone service lockout","guard inspection and access probe",4,1,4,Safety lead,open
H09,all,Pinch/shear point,"joint gaps pulleys or grippers","finger injury",4,4,16,"guards safe spacing low commissioning force exclusion zone","pinch-point audit",4,1,4,Safety lead,open
H10,power,Battery thermal event,"cell fault damage overcurrent or charging error","fire toxic smoke and ignition of wood",5,2,10,"certified pack BMS fuse thermal barrier monitored charging","supplier evidence abuse response drill thermal test",5,1,5,Electrical lead,open
H11,power,Electrical short,"wiring damage connector error or conductive debris","fire loss of control",5,3,15,"branch protection strain relief inspection isolation and enclosure","short-circuit selectivity and insulation tests",5,1,5,Electrical lead,open
H12,power,Contactor weld,"DC fault or underrated switching","drives remain energized",5,2,10,"rated contactor welded-contact feedback service disconnect","forced feedback mismatch test",5,1,5,Electrical lead,open
H13,control,Encoder fault,"magnet shift wire break or software error","incorrect joint estimate",5,3,15,"output sensing plausibility checks NC wiring hard stops","disconnect drift and disagreement tests",5,1,5,Controls lead,open
H14,control,False foot contact,"sensor saturation drift or calibration error","unstable support transition",5,3,15,"multiple force zones estimator plausibility tether","contact fault injection",5,1,5,Controls lead,open
H15,control,Perception error,"occlusion latency or false detection","collision or incorrect target",4,3,12,"slow motion workspace limits target confidence human supervision","sensor-loss and false-target tests",4,1,4,Perception lead,open
H16,maintenance,Unexpected energization,"incomplete lockout or remote command","technician injury",5,3,15,"service disconnect lockout tag maintenance mode zero-energy verification","maintenance audit",5,1,5,Maintenance lead,open
H17,commissioning,Incorrect configuration,"wrong limits firmware or joint mapping","overtravel or unstable motion",5,3,15,"configuration hashes version check axis-by-axis commissioning","configuration mismatch tests",5,1,5,Systems lead,open
H18,stairs,Foot edge contact,"registration error or insufficient clearance","trip or fall",5,3,15,"conservative step model toe clearance force verification tether","stair fixture edge cases",5,1,5,Mobility lead,open
H19,handling,Payload drop,"grip loss overload or wrist fault","impact or property damage",4,3,12,"two-hand cradle payload limits exclusion zone compliant test objects","power-loss and overload drop tests",4,1,4,Manipulation lead,open
H20,cyber,Unauthorized command,"network exposure credential loss or malicious input","unexpected motion or data loss",5,2,10,"isolated motor network authenticated gateway allowlists signed updates","penetration and malformed-command tests",5,1,5,Security lead,open
H21,human-factors,E-stop unreachable,"operator position obstruction or tether routing","delayed hazardous-energy removal",5,2,10,"rear shoulder stop reachable both sides plus pendant stop","reachability trials in all test setups",5,1,5,Safety lead,open
H22,all,Excessive noise or vibration,"resonance loose fastener tendon chatter","structural fatigue and missed warnings",3,3,9,"witness marks vibration logging stop thresholds","modal observation and cycle tests",3,1,3,Mechanical lead,open

